United States,18036648,39.91,-77.02,17
China,11007720.59,39.55,116.2,11
Japan,4383076.298,36,138,8
Germany,3363446.823,52.3,13.25,9
United Kingdom,2858003.088,52.3,-1.1,8
France,2418835.533,48.5,2.2,8
India,2095398.349,28.37,77.13,8
Italy,1821496.964,41.54,12.29,7
Brazil,1774724.819,-15.47,-47.55,7
Canada,1550536.52,45.27,-75.42,7
"Korea, Rep.",1377873.108,35.9,127.7,6
Australia,1339140.527,-35.15,149,6
Russian Federation,1331207.746,55.45,37.35,6
Spain,1199057.336,40.25,-3.45,6
Mexico,1143793.184,19.2,-99.1,6
Indonesia,861933.9687,-6.09,106.4,5
Netherlands,750283.9082,52.23,4.54,5
Turkey,717879.7886,39.57,32.54,5
Switzerland,670789.9288,46.57,7.28,5
Saudi Arabia,646001.8667,24.41,46.42,5
Argentina,583168.5711,-36.3,-60,5
Sweden,495623.6973,59.2,18.03,4
Nigeria,481066.1529,9.05,7.32,4
Poland,477066.4544,52.13,21,4
Belgium,455085.727,50.51,4.21,4
"Iran, Islamic Rep.",425326.0684,32.4,53.6,4
Thailand,395168.0259,13.45,100.3,4
Norway,386578.4437,59.55,10.45,3.5
Austria,376950.2495,48.12,16.22,3.5
United Arab Emirates,370296.256,24.28,54.22,3.5
"Egypt, Arab Rep.",330778.5507,26.8,30.8,3.5
South Africa,314571.9459,-25.44,28.12,3.5
Israel,299415.7147,31.71,-35.1,3
Malaysia,296283.1904,3.09,101.4,3
Denmark,295091.3337,55.41,12.34,3
Singapore,292739.3075,1.3,103.8,3
Philippines,292451.3926,14.4,121,3
Colombia,292080.1556,4.34,-74,3
Ireland,283703.217,53.21,-6.15,3
Pakistan,271049.8867,33.4,73.1,3
Chile,240796.3884,-33.24,-70.4,3
Finland,231949.6507,60.15,25.03,3
Portugal,198923.2649,38.42,-9.1,2.5
Bangladesh,195078.6658,23.43,90.26,2.5
Greece,194851.3192,37.58,23.46,2.5
Vietnam,193599.3791,14,108.2,2.5
Peru,189111.139,-12,-77,2.5
Czech Republic,185156.3596,50.05,14.22,2.5
Kazakhstan,184388.4321,51.1,71.3,2.5
